Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15
Property	job	1	:	Solubility	;									
Units	job	1	:	Energies	in	kcal/mol	;	Volume	in	A^3	;	Temperature	in	K
														
Nr	Compound	log10(x_solub)	mu(self)	mu(solv)	DG_fus	mu(water)	N_Ring	Volume	N_Amino	MolWeight	w_solub	log10(S)	Exp-State	Tmelt
1	aspirin	-2.41982636	-2.47056901	-1.38473238	2.19325833	-1.28412670	6	207.7858	0	180.1583	0.0049949165	-1.46057944	solid	404.15
2	1-bromobutane	0.00000000	-3.87275440	-3.87275440	0.00000000	-3.85593621	0	132.6327	0	137.0187	NA	0.00000000	liquid	160.75
