Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15
Property	job	1	:	Solubility	;									
Units	job	1	:	Energies	in	kcal/mol	;	Volume	in	A^3	;	Temperature	in	K
														
Nr	Compound	log10(x_solub)	mu(self)	mu(solv)	DG_fus	mu(water)	N_Ring	Volume	N_Amino	MolWeight	w_solub	log10(S)	Exp-State	Tmelt
1	aspirin	-1.62310390	-2.47056901	-2.46436712	2.19325833	-2.39379223	6	207.8250	0	180.1583	0.0297390140	-0.55834213	solid	404.15
2	1-bromo-2-chloroethane	0.00000000	-3.36291688	-3.36291688	0.00000000	-3.34743545	0	111.1678	0	143.4106	NA	0.00000000	liquid	256.45
