Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15
Property	job	1	:	Solubility	;									
Units	job	1	:	Energies	in	kcal/mol	;	Volume	in	A^3	;	Temperature	in	K
														
Nr	Compound	log10(x_solub)	mu(self)	mu(solv)	DG_fus	mu(water)	N_Ring	Volume	N_Amino	MolWeight	w_solub	log10(S)	Exp-State	Tmelt
1	aspirin	-1.31035209	-2.47056901	-2.88817557	2.19325833	-2.91291809	6	208.5983	0	180.1583	0.0879911471	-0.23962874	solid	404.15
2	furfural	0.00000000	-1.04848410	-1.04848410	0.00000000	-1.03351367	5	116.7320	0	96.0845	NA	0.00000000	liquid	234.45
