Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15
Property	job	1	:	Solubility	;									
Units	job	1	:	Energies	in	kcal/mol	;	Volume	in	A^3	;	Temperature	in	K
														
Nr	Compound	log10(x_solub)	mu(self)	mu(solv)	DG_fus	mu(water)	N_Ring	Volume	N_Amino	MolWeight	w_solub	log10(S)	Exp-State	Tmelt
1	aspirin	-2.61790528	-2.47056901	-1.11631659	2.19325833	-1.02586937	6	207.7715	0	180.1583	0.0039371345	-1.66737074	solid	404.15
2	3-fluorotoluene	0.00000000	-3.52101863	-3.52101863	0.00000000	-3.50640497	6	142.9523	0	110.1295	NA	0.00000000	liquid	162.35
